ts=1769970967, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769971253, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769971317, profit=72744015, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769971318, profit=3914998, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769972110, profit=13285370, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769974520, profit=25722903, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769977079, profit=5, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769977744, profit=2684680, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769980483, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769980762, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769980953, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769983781, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769986305, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769987949, profit=1335324422, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
